,item,count
0,😭,433
1,🥺,297
2,❤️,284
3,😍,265
4,👀,225
5,🥰,184
6,😂,167
7,😔,137
8,😢,133
9,😳,133
10,😩,130
11,😤,117
12,😡,100
13,🥵,95
14,🙃,93
15,🤡,74
16,👏,73
17,👍,65
18,💦,63
19,🙄,62
20,🤔,61
21,🚩,61
22,✨,57
23,🤪,54
24,🙏,53
25,🤩,52
26,👁,51
27,🔥,49
28,🤤,48
29,👌,48
30,😫,46
31,😮,46
32,😎,46
33,🥲,45
34,😏,43
35,😞,42
36,😌,40
37,🥴,39
38,😊,38
39,🍑,37
40,🍆,37
41,🤣,37
42,😘,35
43,🙂,34
44,😉,32
45,💀,31
46,👉,30
47,😀,30
48,🤮,29
49,😅,29
50,♥️,27
51,😬,27
52,👅,26
53,😈,26
54,🚫,25
55,😆,25
56,💕,24
57,🤑,24
58,👆🏻,24
59,💪,23
60,😱,23
61,🤓,23
62,🤢,22
63,😛,22
64,🤠,22
65,💯,21
66,😐,21
67,👤,21
68,🎶,20
69,✌️,20
70,😿,19
71,😋,19
72,🤯,19
73,👄,19
74,👨🏻‍🦳,19
75,🧐,19
76,😁,18
77,💔,18
78,🦠,18
79,👇🏿,18
80,👆🏿,18
81,😠,17
82,❤,17
83,🚨,17
84,🤬,17
85,👈,17
86,™,17
87,👇🏻,17
88,😓,16
89,😥,16
90,💗,16
91,💨,16
92,🚀,16
93,☺️,16
94,🤭,16
95,🙅🏻‍♂️,16
96,👇🏾,16
97,👆🏾,16
98,🙌,15
99,💥,15
100,😪,15
101,💙,15
102,😷,15
103,🙋🏻‍♂️,15
104,🌙,15
105,🧡,14
106,😒,14
107,🤧,14
108,👻,14
109,👦,14
110,💲,14
111,🙈,14
112,🖤,14
113,👇🏽,14
114,👆🏽,14
115,🙁,13
116,😜,13
117,😦,13
118,™️,13
119,🖕,13
120,2️⃣,13
121,❌,13
122,🤞,13
123,☹️,12
124,😕,12
125,✔️,12
126,🇮🇹,12
127,🥳,12
128,😟,12
129,💃,12
130,👨🏻‍💻,12
131,💓,12
132,👇🏼,12
133,🤨,12
134,🇺🇸,11
135,😯,11
136,🤷‍♂️,11
137,🕺,11
138,🤷‍♀️,11
139,😚,11
140,😴,11
141,💅,10
142,🙏🏻,10
143,👑,10
144,🗣,10
145,💖,10
146,🤝,10
147,🧠,10
148,😃,10
149,😣,9
150,🤗,9
151,🎵,9
152,🐯,9
153,‼️,9
154,🛑,9
155,👉🏿,9
156,👈🏿,9
157,🐻,9
158,🏜️,9
159,💃🏻,8
160,📝,8
161,👏🏻,8
162,💜,8
163,✋,8
164,👉🏾,8
165,👈🏾,8
166,👌🏼,8
167,👥,8
168,😝,8
169,⏳,8
170,🌞,8
171,🤕,7
172,😰,7
173,💰,7
174,🏛,7
175,💋,7
176,😻,7
177,🦊,7
178,⬇️,7
179,💩,7
180,🙅‍♂️,7
181,🤫,7
182,🎉,7
183,🙅‍♀️,7
184,🤒,7
185,👶,7
186,👏🏼,7
187,💞,7
188,🥶,7
189,💛,7
190,👨🏻‍🏫,7
191,🏠,7
192,☝️,7
193,👏🏾,7
194,🌳,7
195,🚮,7
196,♥,6
197,🌲,6
198,👋,6
199,😖,6
200,🐸,6
201,🏃🏻‍♂️,6
202,🏃‍♂️,6
203,😲,6
204,🌎,6
205,🍇,6
206,🚿,6
207,😶,6
208,📉,6
209,😵,6
210,🏡,6
211,🚗,6
212,⁉️,6
213,⌛,6
214,🔙,6
215,💅🏼,6
216,🦶🏻,6
217,📈,6
218,💫,6
219,😇,6
220,💧,6
221,😙,6
222,😑,6
223,☀️,6
224,🥱,6
225,💚,6
226,🇦🇺,6
227,🤎,6
228,🤍,6
229,🦌,6
230,💝,6
231,🔊,6
232,📣,6
233,⚡,5
234,👎,5
235,😄,5
236,👏🏽,5
237,☹,5
238,🤟,5
239,🐝,5
240,🙊,5
241,👿,5
242,🌍,5
243,👉🏻,5
244,🤙🏻,5
245,✌🏻,5
246,🤷🏻‍♀️,5
247,🌿,5
248,✌,5
249,🗿,5
250,😼,5
251,👉🏼,5
252,👈🏼,5
253,👉🏽,5
254,👈🏽,5
255,🤘,5
256,📯,5
257,👩‍👩‍👦‍👦,5
258,🙋‍♂️,5
259,🙏🏽,5
260,☠️,5
261,🍌,4
262,💸,4
263,💵,4
264,😨,4
265,👂🏻,4
266,👣,4
267,🌟,4
268,👌🏻,4
269,🌌,4
270,🅱️,4
271,👩‍💻,4
272,📢,4
273,⭐,4
274,📞,4
275,✊,4
276,🍺,4
277,👮🏻‍♂️,4
278,🎲,4
279,🍳,4
280,💁‍♂️,4
281,👹,4
282,💳,4
283,4️⃣,4
284,1️⃣,4
285,🕺🏻,4
286,🏫,4
287,💁‍♀️,4
288,🐿,4
289,🤦‍♂️,4
290,🍎,4
291,🍀,4
292,✔,4
293,👈🏻,4
294,✅,4
295,🧢,4
296,☑️,4
297,🎒,4
298,👽,4
299,👍🏼,4
300,🦧,4
301,😮‍💨,4
302,❤️‍🔥,4
303,🌷,3
304,🍫,3
305,🏳️‍🌈,3
306,🇺🇦,3
307,🔟,3
308,⚖,3
309,🏃🏻‍♀️,3
310,🕴,3
311,🔜,3
312,🐄,3
313,🐮,3
314,🔎,3
315,👟,3
316,🌊,3
317,🍒,3
318,🕰,3
319,🗳,3
320,🦶,3
321,👩🏻‍💻,3
322,🤰,3
323,🦀,3
324,💼,3
325,➡️,3
326,✈️,3
327,🔛,3
328,📱,3
329,🚚,3
330,👩🏻,3
331,👮🏻‍♀️,3
332,🤷🏻‍♂️,3
333,🙎🏻‍♂️,3
334,👊🏻,3
335,📩,3
336,🥗,3
337,👨‍👩‍👦‍👦,3
338,🏚,3
